"","Year","MunCode","Party","SIGLA_PARTIDO","NOME_CANDIDATO","Voteshare","Winner","Woman","Margin","Voters","Female.Voters","Male.Voters","Recruit.Share","Gender.Gap","Attrition.Rate","Attrition.Rate.Female","Attrition.Rate.Male","Switch.Rate.Female","Switch.Rate.Male","Renominated","Advanced","Cumulative.Female.Recruits.Share","Recruit.Share.Lagged","Gender.Gap.Lagged","Attrition.Rate.Lagged","University","Incumbent","Married","Age","Dynastic","Insider","Time.In.Party","Time.In.Politics","Prior.Office","First.Female.Mayor","Prior.Female.Mayors","Challenger_Incumbent","Challenger_Time.In.Politics","Illiteracy_2000","UrbanizationRate_2000","HDI_2000","HDI_2010","Population_2000","Female.Participation.Rate","Voter.Gender.Ratio","PT.Deputies.Voteshare","Gender.Gap.Year1","Gender.Gap.Year2","Gender.Gap.Year3","Gender.Gap.Year4","Woman.CouncilCandidatesShare.AllParties","Woman.Councilors.Share.AllParties","Female.Donations.Ratio"
"1",2012,"10014","PDT","PDT","JANETH CLEA RIBEIRO DE ALANCAR BARRADAS",0.443435391800726,FALSE,TRUE,-0.113129216398547,4834,2482,2348,1.24120810922631,0.897775740012931,0,0,0,0,0,FALSE,NA,96.293311845286,0.705218617771509,0.522429893278837,0.666666666666667,TRUE,FALSE,TRUE,41,FALSE,FALSE,1,9,"None",TRUE,0,FALSE,5,33.24,0.738202247191011,0.416903378,0.6554163124,5340,0.309050772626932,1.05706984667802,0.149820574162679,0,0,0.517868345443239,2.12947189097104,0.363636363636364,0.222222222222222,0.606862049892394
"2",2016,"10014","PSB","PSB","ANTONIA ALENCAR FERREIRA",0.204567307692308,FALSE,TRUE,-0.590865384615385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,70,FALSE,NA,NA,13,"VEREADOR",TRUE,0,TRUE,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2008,"10030","MDB","PMDB","LUZIA DOS SANTOS BESERRA SALES",0.370436530088199,FALSE,TRUE,-0.259126939823602,11565,6248,5312,0.605274535235625,0.969466855899912,0,0,0,0,0,FALSE,FALSE,64.3405889884763,0.373657169546941,0.43040966180798,0.25,TRUE,FALSE,TRUE,51,FALSE,NA,NA,16,"PREFEITO",TRUE,0,TRUE,11,30.695,0.900668182131294,0.535000032,0.6631538789,14517,0.390032502708559,1.17620481927711,0.266658485703767,0,0,1.3459728799963,0,0.333333333333333,0.0909090909090909,0.555444466662223
"4",2016,"10030","PP","PP","MARGARETH DE SOUSA PIMENTEL",0.422061570952806,FALSE,TRUE,-0.0940622207781659,14925,7904,7017,2.34505862646566,0.414389086308035,0,0,0,0,0,NA,NA,84.7672064777328,2.59311645450259,4.35281309624703,0,TRUE,FALSE,TRUE,52,TRUE,FALSE,1,17,"None",FALSE,1,TRUE,0,30.695,0.900668182131294,0.535000032,0.6631538789,14517,0.390032502708559,1.12640729656548,0.188677334413612,0,0.142511044605957,0,0.271878041702078,0.402985074626866,0.272727272727273,1.03580124538254
"5",2004,"10065","PT","PT","ANGELA MARIA BESSA DE CARVALHO",0.327880512091038,FALSE,TRUE,-0.344238975817923,4911,2327,2581,14.0500916310324,1.40110193378707,0.159420289855072,0.161290322580645,0.157894736842105,0.0645161290322581,0.131578947368421,TRUE,FALSE,11.1731843575419,5.16395558998193,7.7207954616082,0.5,TRUE,FALSE,TRUE,50,TRUE,FALSE,1,1,"None",TRUE,0,TRUE,NA,44.048,0.262918918918919,0.336628603,0.475815922,4625,0.183006535947712,0.901588531576908,0.03125,-0.429737859905458,0.866302241413443,1.00682868610938,-0.042291133830293,0.211538461538462,0.111111111111111,0.660132785330383
"6",2012,"10073","CIDADANIA","PPS","PATRICIA MARA DA SILVA PINHEIRO",0.506543762772294,TRUE,TRUE,0.190182181833993,30045,15533,14494,1.56432018638709,-0.491726526300171,0.0212765957446809,0.0357142857142857,0,0,0,TRUE,NA,60.2588038369922,1.68338108882521,0.336172161647212,0.25531914893617,TRUE,FALSE,TRUE,39,FALSE,NA,NA,1,"None",FALSE,1,FALSE,17,35.511,0.669674352026992,0.431082999,0.6016364699,39122,0.338951310861423,1.07168483510418,0.230329711502435,0,0,0.175139125893282,0.036920020654957,0.313953488372093,0.230769230769231,1.14955256713957
"7",2016,"10073","PT","PT","PATRICIA MARA DA SILVA LEAL PINHEIRO",0.704788871106734,TRUE,TRUE,0.409577742213468,28721,14953,13768,3.41213746039483,0.282042944320638,0,0,0,0,0,NA,NA,73.8313381930048,0.765518389083042,0.253132225349537,0,TRUE,TRUE,TRUE,43,FALSE,FALSE,1,5,"PREFEITO",FALSE,1,FALSE,24,35.511,0.669674352026992,0.431082999,0.6016364699,39122,0.338951310861423,1.08606914584544,0.393588881416723,0,0,0,0.282042944320638,0.34375,0.230769230769231,1.1752926812288
"8",2016,"10103","PT","PT","LUCINEIDE MARINHO DE LOIOLA",0.372298826919119,FALSE,TRUE,-0.20395143033546,5453,2679,2774,0,0,0,0,0,NA,NA,NA,NA,32.474804031355,0.169376693766938,-0.356252226576416,0,FALSE,FALSE,TRUE,55,FALSE,TRUE,13,13,"None",TRUE,0,TRUE,25,46.014,0.25329489291598,0.390446753,0.6341319536,7284,0.262872628726287,0.965753424657534,0.144686587283756,0,0,0,0,0.321428571428571,0.222222222222222,4.07957762590561
"9",2004,"10111","PDT","PDT","ANA MARCIA LEAL DA COSTA",0.468125,TRUE,TRUE,0.00416666666666671,5612,2939,2669,2.85103349964362,0.990286952472218,0.1875,0,0.333333333333333,0,0.222222222222222,TRUE,FALSE,55.801292956788,12.6367408525085,5.11459568521011,0.492537313432836,TRUE,FALSE,TRUE,38,FALSE,FALSE,1,1,"None",TRUE,0,FALSE,4,28.578,0.746169711255156,0.418581153,0.5755455949,6788,0.345423143350604,1.10116148370176,0.155629877369008,0,0,1.39937948986709,0,0.324324324324324,0.444444444444444,1.23483614235916
"10",2008,"10111","PTB","PTB","ANA MARCIA LEAL DA COSTA",0.389088729016787,TRUE,TRUE,0.0771382893685052,5939,3173,2764,2.52567772352248,2.04214923036857,0.333333333333333,0.4,0.3,0.4,0.3,FALSE,FALSE,103.057043807123,16.3934426229508,-3.42113036258296,0.33695652173913,TRUE,TRUE,TRUE,42,FALSE,FALSE,1,5,"PREFEITO",TRUE,0,FALSE,5,28.578,0.746169711255156,0.418581153,0.5755455949,6788,0.345423143350604,1.14797395079595,0.121090448013525,0,0,1.91353145639561,0,0.333333333333333,0.222222222222222,0.534016836629151
"11",2012,"10111","PL","PR","MARIA NETA DE SOUZA SANTOS NUNES",0.568251199302224,TRUE,TRUE,0.136502398604448,6760,3549,3210,0.443786982248521,0.341283446962814,0,0,0,0,0,TRUE,NA,114.39842209073,0.168378514901499,0.361794500723589,0,TRUE,FALSE,TRUE,66,TRUE,NA,NA,13,"VEREADOR",FALSE,1,FALSE,5,28.578,0.746169711255156,0.418581153,0.5755455949,6788,0.345423143350604,1.10560747663551,0.0955453788509575,0,0,0,0.400797381386885,0.333333333333333,0.222222222222222,0.99044730911411
"12",2016,"10111","PL","PR","MARIA NETA DE SOUZA SANTOS NUNES",0.590288315629742,TRUE,TRUE,0.180576631259484,6922,3621,3300,1.73360300491188,1.31957520524215,0,0,0,0,0,NA,NA,124.551228942281,0.443786982248521,0.341283446962814,0,TRUE,TRUE,TRUE,70,TRUE,NA,NA,17,"PREFEITO",FALSE,1,FALSE,9,28.578,0.746169711255156,0.418581153,0.5755455949,6788,0.345423143350604,1.09727272727273,0.172413793103448,0,0,0,1.31957520524215,0.333333333333333,0.555555555555556,1.71485373335233
"13",2004,"10138","PTB","PTB","MARIA LUCIA CAVALCANTE",0.367077267637178,FALSE,TRUE,-0.265845464725644,5313,2606,2698,25.5975908149821,14.1977201497144,0.382352941176471,0.333333333333333,0.409090909090909,0.0416666666666667,0.193181818181818,FALSE,FALSE,35.3031465848043,13.4874759152216,-0.595221409282464,0.410714285714286,TRUE,FALSE,FALSE,58,FALSE,FALSE,1,1,"None",TRUE,0,TRUE,9,37.717,0.467206251744348,0.382744764,0.608039321,7166,0.299798792756539,0.96590066716086,0.0797562268150503,0,0,14.5683650718789,0,0.153846153846154,0.111111111111111,0.762975750341002
"14",2012,"10138","PTB","PTB","MARIA LUIZA DE NEGREIROS DIAS",0.419635941130906,FALSE,TRUE,-0.153369481022463,6326,3174,3143,0.94846664558963,-0.623904733436101,0,0,0,0,0,TRUE,NA,66.7926906112161,1.01454176530267,-0.0154874236383973,0.666666666666667,TRUE,FALSE,TRUE,40,TRUE,TRUE,5,11,"None",TRUE,0,FALSE,5,37.717,0.467206251744348,0.382744764,0.608039321,7166,0.299798792756539,1.00986318803691,0.117417677642981,0,0,0,-0.30573737740683,0.333333333333333,0.222222222222222,0.418276602269243
"15",2016,"10138","PSDB","PSDB","MARIA LUIZA DE NEGREIROS DIAS COSTA",0.458931860036832,FALSE,TRUE,-0.0821362799263352,6052,3043,3009,0.826173165895572,1.66168162180126,0,0,0,NA,0,NA,NA,107.788366743345,0.316155548529877,0.636334712058543,0,TRUE,FALSE,TRUE,44,TRUE,TRUE,15,15,"None",TRUE,0,FALSE,13,37.717,0.467206251744348,0.382744764,0.608039321,7166,0.299798792756539,1.01129943502825,0.0807221415231376,0,0,0,1.66168162180126,0.375,0.111111111111111,0.98451603335423
"16",2008,"10162","PTB","PTB","ELVINA BORGES DA MOTA ANDRADE",0.36837975676736,FALSE,TRUE,-0.00470772852098866,3127,1496,1628,0,0,0,0,0,NA,NA,TRUE,FALSE,78.8770053475936,10.3555402140145,5.75443740911367,0.2,FALSE,FALSE,TRUE,46,FALSE,NA,NA,5,"VEREADOR",TRUE,0,FALSE,5,32.003,0.450656295576082,0.274884775,0.6041066501,4114,0.264705882352941,0.918918918918919,0.0701205895489058,0,0,0,0,0.333333333333333,0.111111111111111,0.777825129541367
"17",2012,"10162","PSB","PSB","ELVINA BORGES DA MOTA ANDRADE",0.512320706141964,TRUE,TRUE,0.024641412283928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,50,FALSE,NA,NA,9,"VEREADOR",TRUE,0,TRUE,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2016,"10162","PP","PP","ELVINA BORGES DA MOTA ANDRADE",0.455659697188176,FALSE,TRUE,-0.0886806056236482,3552,1659,1890,7.03828828828829,1.90878038979305,0,0,0,0,0,NA,NA,101.868595539482,3.7593984962406,-0.975784811223945,0,TRUE,TRUE,TRUE,54,FALSE,FALSE,1,13,"PREFEITO",TRUE,0,FALSE,13,32.003,0.450656295576082,0.274884775,0.6041066501,4114,0.264705882352941,0.877777777777778,0.383816529640848,0,0,0,1.90878038979305,0.375,0.333333333333333,1.86559615223288
