"Y","D","Z","cluster"
1,0,0,1
0,0,0,2
0,1,1,3
0,1,1,4
0,0,0,5
0,1,0,6
1,1,1,7
1,0,0,8
0,0,0,9
0,1,0,10
0,1,0,11
0,0,0,12
0,1,1,13
1,1,0,14
0,0,0,15
0,1,1,16
1,1,1,17
0,1,0,18
0,0,0,19
0,1,1,20
1,1,1,21
0,0,0,22
0,1,1,23
1,1,1,23
1,1,1,25
1,1,1,25
0,0,0,27
1,0,0,28
1,0,0,28
0,1,1,30
0,0,0,31
0,0,0,31
0,0,0,33
1,0,0,33
0,0,0,35
1,0,0,35
1,1,1,37
1,1,1,37
1,0,0,39
0,0,0,39
0,1,1,41
0,1,1,42
0,1,1,43
0,1,1,43
0,1,0,45
0,1,0,45
0,1,1,47
0,1,1,47
1,1,0,49
1,1,1,50
0,1,1,51
1,1,1,51
0,1,1,53
1,1,1,53
0,0,0,55
0,1,0,56
1,1,0,56
0,1,1,58
1,0,0,59
0,0,0,60
1,0,0,60
0,0,0,62
1,0,0,62
0,0,0,64
1,1,1,65
1,1,1,65
0,0,1,67
1,1,1,68
0,1,1,68
0,0,0,70
0,0,0,70
0,0,0,72
0,0,0,72
0,0,0,74
0,1,0,75
0,0,0,75
0,0,0,77
0,0,0,77
0,0,0,79
1,0,0,79
0,0,0,81
0,0,0,81
1,1,1,83
1,1,1,84
0,1,1,85
1,1,1,85
1,0,0,87
0,0,0,87
0,1,1,89
0,1,1,89
0,0,0,91
0,0,0,91
0,1,1,93
0,1,1,93
1,1,1,95
0,1,1,95
0,0,0,97
1,0,0,97
0,1,1,99
1,1,1,100
0,0,0,101
0,0,0,101
0,0,0,103
1,0,0,104
0,0,0,104
1,1,1,106
1,1,1,106
1,1,1,108
0,1,1,108
1,1,1,110
1,0,0,111
0,0,0,111
0,1,0,113
0,1,0,113
1,1,1,115
1,0,0,116
0,1,0,117
0,0,0,118
0,0,0,119
1,0,0,119
0,0,0,121
1,0,0,121
1,0,0,123
1,0,0,123
1,1,1,125
0,1,0,126
0,0,0,127
0,0,0,127
0,1,1,129
0,1,1,130
1,1,1,130
1,1,1,132
1,1,1,132
0,0,0,134
0,0,0,134
0,0,0,136
0,0,0,136
1,0,0,138
1,0,0,138
0,0,0,140
0,0,0,140
0,1,1,142
1,1,1,142
1,1,1,144
0,1,1,145
0,1,1,145
0,1,1,147
1,1,1,147
1,1,1,149
1,1,1,149
1,1,1,151
0,1,1,151
1,1,1,153
1,1,1,153
0,1,1,155
0,1,1,155
0,0,0,157
0,0,0,158
0,0,0,158
1,1,1,160
1,0,0,161
0,0,0,161
0,1,1,163
1,0,0,164
0,0,0,164
0,1,1,166
1,1,1,166
0,0,0,168
0,0,0,168
0,1,1,170
0,1,1,170
0,1,1,172
0,1,1,173
0,1,1,173
0,0,0,175
0,0,0,175
1,1,1,177
0,1,1,177
1,0,0,179
1,1,1,180
0,1,1,180
0,1,1,182
0,1,1,182
1,0,0,184
1,0,0,184
0,0,0,186
0,0,0,186
0,0,0,188
0,0,0,188
0,0,0,190
0,0,0,190
1,1,1,192
0,1,1,192
0,0,0,194
0,0,0,194
1,1,1,196
0,0,0,197
0,0,0,198
0,0,0,198
0,0,0,200
0,0,0,200
1,1,1,202
1,1,1,202
0,0,0,204
1,0,0,204
0,0,0,206
1,1,1,207
0,1,1,207
0,0,0,209
0,1,1,210
0,1,1,210
1,0,0,212
0,0,0,212
0,1,1,214
1,0,0,215
1,0,0,215
0,1,1,217
0,0,0,218
0,0,0,218
1,0,0,218
0,0,0,218
0,1,0,222
0,1,0,222
1,1,0,224
0,1,1,225
1,1,1,225
1,1,1,227
1,1,1,227
0,1,0,229
0,1,0,229
0,1,1,231
1,1,1,231
1,0,0,233
0,1,1,234
0,1,1,234
0,1,1,234
1,1,1,234
0,1,1,234
1,1,0,239
0,1,0,239
1,1,1,241
0,1,1,241
0,0,0,243
0,1,1,244
1,1,1,244
1,0,0,246
0,1,1,247
0,1,1,248
0,1,1,248
0,0,0,250
1,0,0,250
0,0,0,252
0,1,1,253
0,1,1,253
1,0,0,255
0,0,0,255
1,1,1,257
0,1,1,257
1,1,1,259
0,1,1,259
0,1,1,261
0,1,1,261
1,0,0,264
0,0,0,265
1,0,0,265
0,0,0,265
0,0,0,265
0,1,1,269
0,1,1,269
1,1,1,269
0,1,1,269
1,0,0,273
1,0,0,274
0,1,1,275
0,1,1,275
1,0,0,277
1,0,0,278
1,0,0,278
0,0,0,280
1,0,0,281
1,0,0,281
1,1,1,283
1,1,0,284
1,1,0,284
1,1,1,286
1,1,1,286
0,0,0,288
0,0,0,288
0,1,1,290
1,1,1,290
1,1,0,292
1,0,0,293
0,0,0,293
0,0,0,293
0,0,0,293
0,1,1,297
1,1,1,297
0,1,0,299
0,1,1,300
0,0,0,301
0,0,0,301
1,1,1,303
0,0,0,304
1,0,0,304
1,1,1,306
1,1,1,306
0,1,1,308
0,1,1,309
1,1,1,309
0,0,0,311
1,1,1,312
0,1,1,312
0,0,0,314
1,1,1,315
0,0,0,316
1,0,0,316
1,0,1,318
1,1,1,319
1,1,0,320
1,1,0,320
1,1,1,322
1,1,1,323
1,1,1,324
0,1,1,324
0,0,0,326
1,0,0,326
1,1,1,328
0,1,1,328
0,0,0,330
1,0,0,331
0,0,0,331
0,0,0,331
1,0,0,331
1,0,0,331
0,0,0,336
0,0,0,336
0,0,0,338
0,1,1,339
1,1,1,339
0,1,1,341
1,1,1,341
1,1,1,343
1,1,1,343
0,0,0,345
1,0,1,346
0,1,1,346
0,1,1,348
1,1,1,348
0,0,0,350
0,0,0,351
1,0,0,351
0,1,0,353
0,1,0,353
0,0,0,355
0,0,0,355
1,0,0,357
0,0,0,357
1,1,1,359
1,1,1,359
1,1,1,361
1,1,1,361
1,1,1,363
0,1,1,364
1,1,1,364
1,1,1,366
0,1,1,366
1,1,0,368
1,1,0,368
1,1,1,370
1,0,0,371
0,0,0,371
0,0,1,373
1,1,1,373
1,1,1,373
0,0,0,376
1,0,0,376
0,1,1,378
0,1,1,379
1,1,1,380
0,0,0,381
0,0,0,381
0,0,0,383
0,0,0,384
0,0,0,384
0,1,1,386
1,1,1,386
1,0,0,388
0,0,0,389
0,0,0,389
1,1,1,391
0,1,1,391
0,1,1,393
0,0,0,394
0,0,0,394
0,1,1,396
0,1,1,396
0,1,1,398
0,1,1,398
1,1,1,400
0,0,0,401
0,1,1,402
1,1,1,402
0,1,1,404
1,1,1,405
1,1,1,405
0,0,0,407
1,0,0,408
0,0,0,408
0,1,1,410
1,1,1,410
0,1,0,412
0,1,0,412
1,0,0,414
1,0,0,414
1,1,1,416
0,0,0,417
1,1,1,418
0,1,1,418
0,1,1,420
1,1,0,421
0,1,1,422
1,1,1,422
1,0,0,424
1,1,1,425
0,1,1,425
1,0,0,427
0,0,0,427
1,1,1,429
0,1,1,429
0,1,1,431
0,1,1,431
1,0,0,433
0,0,0,433
0,1,1,435
1,1,1,436
0,1,1,436
1,1,1,438
0,0,0,439
0,0,0,440
0,0,0,440
1,0,0,442
0,0,0,442
1,0,0,444
0,0,0,444
0,0,0,446
0,0,0,447
1,0,0,448
0,0,0,448
1,0,0,450
0,0,0,450
0,0,0,452
0,0,0,452
0,1,1,454
0,1,1,454
1,1,1,456
0,1,1,457
0,1,1,457
0,0,0,459
1,0,0,459
1,1,1,461
1,1,1,461
0,1,0,463
0,1,1,464
0,1,1,464
1,1,1,466
0,1,1,466
1,1,1,468
1,1,1,469
1,1,1,470
0,0,0,471
1,0,0,471
0,1,1,473
1,1,1,474
1,1,1,475
1,0,0,476
1,1,1,477
1,1,1,477
1,1,1,479
1,1,1,479
1,1,1,479
1,1,1,479
0,1,0,483
0,1,1,484
0,1,1,485
0,1,1,485
1,1,1,487
1,0,0,488
0,1,1,489
0,1,1,489
1,1,1,491
1,1,1,491
0,1,1,493
1,1,0,494
0,1,0,495
0,1,0,495
0,0,0,495
1,1,1,498
0,0,0,499
0,1,1,500
1,1,1,500
0,0,0,502
0,0,0,502
0,0,0,504
0,1,1,505
0,0,0,506
0,1,0,507
1,1,0,507
1,1,1,509
1,1,1,509
1,1,0,511
0,0,0,512
0,0,0,512
0,1,1,514
0,1,1,514
1,1,1,514
1,0,0,517
1,1,1,518
1,1,1,519
0,1,1,519
0,1,1,521
1,1,1,521
1,1,1,523
1,1,1,523
1,0,0,525
1,0,0,525
0,1,1,527
0,1,1,528
1,1,1,528
0,1,1,530
0,1,1,531
0,1,1,531
0,1,1,531
1,0,0,534
1,0,0,535
1,0,0,535
1,1,1,537
0,1,1,538
0,1,1,538
0,0,0,540
1,0,0,540
1,0,0,542
1,1,1,543
0,1,1,544
0,1,1,544
0,0,0,546
1,0,0,546
0,0,0,548
1,0,0,549
0,0,0,549
0,1,1,551
1,1,1,552
1,1,1,552
1,1,1,554
1,1,1,554
0,0,0,556
1,1,1,557
0,1,1,557
1,0,0,559
1,0,0,559
0,1,1,561
0,1,1,561
0,1,1,563
1,1,1,563
0,1,1,565
0,1,1,565
1,1,0,567
1,1,1,568
1,0,0,569
1,1,1,570
1,0,0,571
0,0,0,571
0,0,0,573
1,0,0,573
1,1,1,575
0,1,1,575
0,0,0,577
0,0,0,577
1,1,1,579
0,1,1,579
0,0,0,581
1,0,0,581
0,0,0,583
0,0,0,583
0,1,1,585
0,1,1,585
0,1,0,587
0,1,0,587
0,0,0,589
0,1,1,590
1,1,1,591
1,1,1,591
0,1,1,591
0,1,1,594
0,1,1,594
1,1,1,596
0,1,1,596
1,1,0,598
0,1,0,598
1,0,0,600
1,0,0,600
0,1,1,602
1,1,1,602
1,0,0,604
1,0,0,605
0,0,0,606
0,0,0,606
0,0,0,606
0,0,0,609
0,0,0,609
1,1,1,611
1,1,1,611
0,1,1,613
0,1,1,613
1,1,1,615
1,0,0,616
1,0,0,616
0,0,0,618
1,0,0,618
1,0,0,620
1,0,0,620
0,0,0,620
0,0,0,623
0,0,0,623
1,1,1,625
1,1,1,625
1,0,0,627
1,0,0,627
0,1,1,629
0,1,1,629
0,1,1,631
0,0,0,632
1,1,1,633
1,1,1,634
0,0,0,635
0,0,0,635
0,1,1,637
0,1,1,637
0,1,1,639
0,1,1,639
1,1,1,641
0,1,1,641
1,0,0,643
0,0,0,643
1,1,1,645
1,1,1,645
1,1,1,647
0,1,1,648
0,1,1,648
0,1,1,650
0,1,0,651
1,1,0,651
0,1,0,651
0,1,1,654
0,1,1,654
0,1,1,656
0,0,0,657
0,1,1,658
0,1,1,658
0,0,0,660
1,0,0,660
1,1,1,662
0,1,1,663
0,0,0,664
0,0,0,664
1,1,1,666
0,1,1,666
0,1,1,666
0,1,1,669
0,1,1,669
1,0,0,671
0,0,0,671
0,0,0,673
1,1,1,674
1,1,1,675
1,1,1,676
1,1,1,677
0,1,1,678
0,1,1,678
0,1,1,678
1,1,1,681
1,1,1,681
0,1,0,683
0,1,0,683
0,1,1,685
1,0,1,686
1,0,0,687
1,1,1,688
0,1,1,688
0,1,1,690
0,1,1,690
0,1,1,692
0,1,1,692
0,1,1,694
1,1,1,694
0,0,0,696
0,0,0,696
0,0,0,698
1,0,0,699
1,0,0,700
0,0,0,701
0,1,1,702
0,1,1,702
0,1,1,702
0,1,1,702
1,0,0,706
1,0,0,706
0,1,1,708
0,1,1,708
0,1,1,710
0,1,1,710
0,1,1,710
1,1,1,710
0,1,1,714
0,1,1,714
1,0,0,716
0,0,0,717
0,1,1,718
0,1,1,719
1,1,1,719
1,0,0,721
0,0,0,721
0,0,0,723
0,1,1,724
0,1,1,724
0,1,1,726
0,1,1,727
0,1,1,727
1,1,1,729
1,1,1,730
1,1,1,730
0,0,0,732
0,0,0,732
0,1,1,734
0,0,0,735
0,0,0,735
0,0,0,735
0,0,0,738
1,1,1,739
1,0,0,740
1,0,0,740
0,1,1,742
0,1,1,742
0,1,1,744
0,1,1,744
0,1,1,744
0,1,1,744
0,1,1,748
0,1,1,748
0,1,1,750
0,1,1,750
1,1,1,752
1,1,1,752
1,0,0,754
1,0,0,754
0,1,1,756
1,1,1,757
1,1,1,757
1,1,1,757
1,1,1,760
0,1,1,760
0,0,0,762
0,0,0,762
1,1,1,764
0,0,0,765
1,0,0,765
1,1,1,767
0,1,1,768
0,1,1,768
1,1,1,770
0,1,0,771
1,0,0,772
1,0,0,772
0,0,0,774
0,0,0,775
0,0,0,775
0,1,1,777
0,1,1,777
0,1,1,779
0,1,1,779
0,1,1,781
0,1,1,781
1,1,1,783
0,1,1,783
1,1,1,783
0,1,1,786
0,1,1,786
0,1,0,788
0,1,0,788
0,0,0,790
1,0,0,790
1,1,1,792
1,1,1,792
1,1,1,794
1,1,1,794
1,0,0,796
0,1,1,797
1,1,1,797
0,1,1,799
1,1,1,799
1,1,1,801
0,0,0,802
0,0,0,802
1,0,0,802
1,0,0,802
1,1,1,806
0,1,1,806
0,1,0,808
1,1,1,809
0,1,1,809
1,1,1,811
0,1,0,812
0,1,0,812
1,1,1,814
0,1,1,814
1,1,1,816
1,1,1,816
0,0,0,818
0,0,0,818
1,0,0,818
1,0,0,821
0,0,0,821
0,1,1,823
1,1,1,823
0,0,0,825
1,1,1,826
1,1,1,827
0,0,0,828
1,0,0,828
0,0,0,830
1,0,0,830
0,0,0,832
0,1,1,833
0,1,1,834
0,0,0,835
0,1,1,836
1,0,0,837
1,0,0,837
1,0,0,839
0,0,0,839
1,0,0,841
1,0,0,842
1,0,0,843
0,0,0,843
