"","swis_code","reassessed","appointed","year","cohort"
"1","12000",0,0,"1987",1
"2","12000",0,0,"1988",1
"3","12000",0,0,"1989",1
"4","12000",0,0,"1990",1
"5","12000",0,0,"1991",1
"6","12000",0,0,"1992",1
"7","12000",0,0,"1993",1
"8","12000",0,0,"1994",1
"9","12000",0,0,"1995",1
"10","12000",0,0,"1996",1
"11","12000",100,0,"1997",1
"12","12000",0,0,"1998",1
"13","12000",0,0,"1999",1
"14","12000",0,0,"2000",1
"15","12000",0,0,"2001",1
"16","12000",0,0,"2002",1
"17","12000",0,0,"2003",1
"18","12000",0,0,"2004",1
"19","12000",0,0,"2005",1
"20","12000",0,0,"2006",1
"21","12000",0,0,"2007",1
"22","12000",0,0,"2008",1
"23","12000",0,0,"2009",1
"24","12000",0,0,"2010",1
"25","12000",0,0,"2011",1
"51","12400",0,0,"1987",16
"52","12400",0,0,"1988",16
"53","12400",0,0,"1989",16
"54","12400",0,0,"1990",16
"55","12400",0,0,"1991",16
"56","12400",0,0,"1992",16
"57","12400",0,0,"1993",16
"58","12400",0,0,"1994",16
"59","12400",0,0,"1995",16
"60","12400",0,0,"1996",16
"61","12400",0,1,"1997",16
"62","12400",0,1,"1998",16
"63","12400",0,1,"1999",16
"64","12400",100,1,"2000",16
"65","12400",0,1,"2001",16
"66","12400",0,1,"2002",16
"67","12400",0,1,"2003",16
"68","12400",0,1,"2004",16
"69","12400",0,1,"2005",16
"70","12400",0,1,"2006",16
"71","12400",100,1,"2007",16
"72","12400",0,1,"2008",16
"73","12400",0,1,"2009",16
"74","12400",0,1,"2010",16
"75","12400",0,1,"2011",16
"176","13400",0,0,"1987",16
"177","13400",0,0,"1988",16
"178","13400",0,0,"1989",16
"179","13400",0,0,"1990",16
"180","13400",0,0,"1991",16
"181","13400",0,0,"1992",16
"182","13400",100,0,"1993",16
"183","13400",0,0,"1994",16
"184","13400",0,0,"1995",16
"185","13400",0,0,"1996",16
"186","13400",100,1,"1997",16
"187","13400",0,1,"1998",16
"188","13400",0,1,"1999",16
"189","13400",0,1,"2000",16
"190","13400",0,1,"2001",16
"191","13400",0,1,"2002",16
"192","13400",0,1,"2003",16
"193","13400",0,1,"2004",16
"194","13400",0,1,"2005",16
"195","13400",100,1,"2006",16
"196","13400",0,1,"2007",16
"197","13400",0,1,"2008",16
"198","13400",0,1,"2009",16
"199","13400",0,1,"2010",16
"200","13400",0,1,"2011",16
"201","13600",0,0,"1987",1
"202","13600",0,0,"1988",1
"203","13600",0,0,"1989",1
"204","13600",0,0,"1990",1
"205","13600",0,0,"1991",1
"206","13600",0,0,"1992",1
"207","13600",0,0,"1993",1
"208","13600",0,0,"1994",1
"209","13600",0,0,"1995",1
"210","13600",0,0,"1996",1
"211","13600",0,0,"1997",1
"212","13600",100,0,"1998",1
"213","13600",0,0,"1999",1
